433003 Sector 2  105689 6.16041 0.583344
433003 Sector 3  85078 6.09267 0.667013
433003 Sector 4  97052.4 0.936937 0.656582
433003 Sector 5  115607 1.68404 0.521601
433003 Sector 6  110919 -0.156406 1.20089
433003 Sector 7  315714 -0.623906 1.31459
433004 Sector 0  62081.7 6.02842 0.52291
433004 Sector 1  58717 5.99337 0.53973
433004 Sector 2  55902.8 6.17746 0.589989
433004 Sector 3  43419.9 6.0853 0.699988
433004 Sector 4  49165.4 0.970932 0.693723
433004 Sector 5  61337.3 1.74173 0.527436
433004 Sector 6  66318.2 -0.171205 1.14238
433004 Sector 7  163112 -0.683533 1.25903
433005 Sector 0  213311 6.08499 0.539543
433005 Sector 1  201299 6.04674 0.559992
433005 Sector 2  196459 6.2291 0.579433
433005 Sector 3  152205 6.16158 0.695156
433005 Sector 4  173405 1.03107 0.684841
433005 Sector 5  215107 1.77129 0.524679
433005 Sector 6  224620 -0.093758 1.1323
433005 Sector 7  549910 -0.515257 1.28456
433007 Sector 0  9770.53 6.00307 0.539375
433007 Sector 1  9216.34 5.96099 0.561419
433007 Sector 2  8809.15 6.16702 0.606637
433007 Sector 3  6935.64 6.09203 0.710839
433007 Sector 4  7837.85 0.924438 0.709991
433007 Sector 5  9669.95 1.67833 0.541563
433007 Sector 6  10359.4 -0.141477 1.1888
433007 Sector 7  23372.9 -0.669966 1.34279
433009 Sector 0  90480.5 6.07973 0.550022
433009 Sector 1  85930.3 6.05443 0.565833
433009 Sector 2  83734.5 6.23251 0.584365
433009 Sector 3  65546.4 6.17733 0.698303
433009 Sector 4  75075 1.00776 0.675957
433009 Sector 5  91363.1 1.75214 0.53248
433009 Sector 6  96512.9 0.018428 1.19126
433009 Sector 7  244958 -0.362562 1.3355
433014 Sector 0  152403 6.12382 0.537842
433014 Sector 1  143994 6.10146 0.554513
433014 Sector 2  140057 6.26957 0.578897
433014 Sector 3  108314 6.20744 0.69417
433014 Sector 4  121930 1.0849 0.686667
433014 Sector 5  153496 1.80837 0.52357
433014 Sector 6  147001 0.114064 1.26474
433014 Sector 7  353914 -0.226675 1.3644
433015 Sector 0  64530.3 6.20319 0.545087
433015 Sector 1  61506.9 6.18456 0.55965
433015 Sector 2  59655.4 6.34113 0.587014
433015 Sector 3  46142.1 6.26295 0.696602
433015 Sector 4  51763.8 1.14049 0.701205
433015 Sector 5  64476.9 1.89454 0.541753
433015 Sector 6  64656.1 0.190968 1.2867
433015 Sector 7  150123 -0.233123 1.39093
433017 Sector 0  20281.7 6.24136 0.544394
433017 Sector 1  19059.4 6.21046 0.563194
433017 Sector 2  18514.1 6.3864 0.586909
433017 Sector 3  14084.9 6.33495 0.716282
433017 Sector 4  15890.4 1.14941 0.726076
433017 Sector 5  20239.3 1.92003 0.540166
433017 Sector 6  22335.7 0.276623 1.27932
433017 Sector 7  51764.4 -0.301536 1.37485
433019 Sector 0  17118.3 6.31682 0.533915
433019 Sector 1  15955.5 6.28642 0.55754
433019 Sector 2  15323.1 6.47666 0.5942
433019 Sector 3  11852.1 6.43554 0.718258
433019 Sector 4  13389.5 1.24716 0.708668
433019 Sector 5  16795.7 1.99998 0.544758
433019 Sector 6  16463.3 0.440828 1.36035
433019 Sector 7  44647 -0.148833 1.35051
433020 Sector 0  41427.9 6.40953 0.539077
433020 Sector 1  39036.8 6.37759 0.561381
433020 Sector 2  36849.3 6.56722 0.617556
433020 Sector 3  28590.4 6.51435 0.729251
433020 Sector 4  32600.5 1.35917 0.731802
433020 Sector 5  41219.6 2.0944 0.542344
433020 Sector 6  37528 0.720555 1.48672
433020 Sector 7  112634 0.137566 1.35434
433028 Sector 0  13238.1 7.05949 0.626432
433028 Sector 1  12783.5 6.98675 0.63231
433028 Sector 2  12155.9 7.19568 0.692511
433028 Sector 3  9359.02 7.18248 0.826806
433028 Sector 4  10843.7 1.95721 0.801747
433028 Sector 5  13529.8 2.68779 0.613121
433028 Sector 6  14702.3 2.01519 1.95506
433028 Sector 7  31887.3 1.37032 1.39131
433030 Sector 0  57838.6 6.90875 0.569963
433030 Sector 1  54177.1 6.86332 0.603481
433030 Sector 2  51302.2 7.08588 0.660625
433030 Sector 3  40340.4 7.07639 0.78548
433030 Sector 4  48332.9 1.86086 0.725734
433030 Sector 5  57246.5 2.55429 0.583205
433030 Sector 6  87258.6 2.16294 1.44888
433030 Sector 7  137932 1.3556 1.34591
433031 Sector 0  36325.9 6.9978 0.585978
433031 Sector 1  34224.6 6.94242 0.622127
433031 Sector 2  32406.7 7.17031 0.680364
433031 Sector 3  24990.2 7.17759 0.819386
433031 Sector 4  29385.1 1.88883 0.768635
433031 Sector 5  36706.8 2.61006 0.585874
433031 Sector 6  37130.7 1.94729 1.74068
433031 Sector 7  77651.1 1.23444 1.39248
433032 Sector 0  154068 7.02455 0.578268
433032 Sector 1  145333 6.95916 0.614367
433032 Sector 2  137559 7.19527 0.672561
433032 Sector 3  106594 7.19743 0.801982
433032 Sector 4  126315 1.91673 0.74523
433032 Sector 5  153525 2.64405 0.598688
433032 Sector 6  140062 1.87608 1.56374
433032 Sector 7  347385 1.3375 1.35442
433036 Sector 0  59837.2 6.91554 0.58257
433036 Sector 1  56032.1 6.85737 0.619878
433036 Sector 2  53391.8 7.08915 0.677565
433036 Sector 3  40826.8 7.07445 0.814756
433036 Sector 4  47918.7 1.79665 0.759138
433036 Sector 5  60214.9 2.52783 0.587289
433036 Sector 6  54258.1 1.54934 1.63643
433036 Sector 7  103653 1.03871 1.52641
433042 Sector 0  80222.7 6.72396 0.585933
433042 Sector 1  76013.3 6.68667 0.609333
433042 Sector 2  73486.4 6.89919 0.634985
433042 Sector 3  56234.7 6.85438 0.773265
433042 Sector 4  65214.2 1.58458 0.746895
433042 Sector 5  81078.2 2.36568 0.570386
433042 Sector 6  80114.8 1.1144 1.62716
433042 Sector 7  192898 0.584673 1.40381
433043 Sector 0  129931 6.59028 0.579457
433043 Sector 1  125447 6.52085 0.574214
433043 Sector 2  118649 6.76508 0.624208
433043 Sector 3  92662.9 6.7286 0.747171
433043 Sector 4  105586 1.46408 0.740314
433043 Sector 5  131454 2.21544 0.560411
433043 Sector 6  123504 0.953715 1.55928
433043 Sector 7  316711 0.422858 1.37124
433044 Sector 0  107700 6.59851 0.557146
433044 Sector 1  101591 6.56506 0.580322
433044 Sector 2  98194.6 6.78089 0.602011
433044 Sector 3  77340 6.74277 0.714192
433044 Sector 4  90480.1 1.52601 0.680444
433044 Sector 5  107410 2.25821 0.546694
433044 Sector 6  76977.4 1.02651 1.64736
433044 Sector 7  281684 0.560726 1.31948
433058 Sector 0  30411.2 6.24948 0.554533
433058 Sector 1  28671.9 6.22396 0.574107
433058 Sector 2  27867.4 6.40745 0.598839
433058 Sector 3  22451.6 6.34029 0.755317
433058 Sector 4  24832.2 1.15929 0.709896
433058 Sector 5  30158.7 1.91978 0.554116
433058 Sector 6  53613.3 1.35225 1.91305
433058 Sector 7  88629 0.0855389 1.36436
433059 Sector 0  10188.2 6.35241 0.553201
433059 Sector 1  9583.95 6.31419 0.561922
433059 Sector 2  9203.75 6.51205 0.602359
433059 Sector 3  7878.1 6.47591 0.783913
433059 Sector 4  8293.94 1.25751 0.705046
433059 Sector 5  10051.8 2.00464 0.55485
433059 Sector 6  17780 1.277 1.98961
433059 Sector 7  24472.4 0.120436 1.46362
433060 Sector 0  54020.5 6.30708 0.548101
433060 Sector 1  51211.1 6.26734 0.565642
433060 Sector 2  49156 6.45724 0.605521
433060 Sector 3  38481.3 6.40583 0.715683
433060 Sector 4  43976.5 1.19366 0.703507
433060 Sector 5  53230.1 1.96644 0.561213
433060 Sector 6  75440.3 1.54724 1.72957
433060 Sector 7  127655 0.063406 1.40496
433061 Sector 0  64334.1 6.39544 0.54967
433061 Sector 1  61560.4 6.32669 0.554322
433061 Sector 2  59076.6 6.53153 0.59162
433061 Sector 3  46243.2 6.49446 0.711894
433061 Sector 4  52582.7 1.26088 0.696793
433061 Sector 5  64310.8 2.01818 0.54836
433061 Sector 6  76495.5 1.4076 1.79695
433061 Sector 7  131772 0.000705653 1.45896
433063 Sector 0  163059 6.31031 0.537729
433063 Sector 1  154605 6.26822 0.554529
433063 Sector 2  147569 6.45955 0.594827
433063 Sector 3  115937 6.3964 0.699875
433063 Sector 4  131115 1.2084 0.695677
433063 Sector 5  160393 1.96651 0.54941
433063 Sector 6  233351 1.00728 2.30098
433063 Sector 7  380042 -0.0302109 1.35043
433065 Sector 0  157025 6.31668 0.530643
433065 Sector 1  148072 6.29143 0.54906
433065 Sector 2  141481 6.48898 0.588775
433065 Sector 3  110503 6.44442 0.70363
433065 Sector 4  126727 1.26394 0.678923
433065 Sector 5  154251 2.00282 0.54238
433065 Sector 6  219199 1.2184 1.90848
433065 Sector 7  360965 -0.0481932 1.37696
433096 Sector 0  29170.7 6.60133 0.593967
433096 Sector 1  27410.4 6.54871 0.622267
